Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC11,SC11-0924-0119_resampled,1,2,2,2,2,223
SC11,SC11-0924-0119_resampled,0,2,2,1,2,224
SC11,SC11-0924-0119_resampled,1,2,2,2,2,225
SC11,SC11-0924-0119_resampled,1,2,2,2,2,226
SC11,SC11-0924-0119_resampled,0,2,2,1,2,227
SC11,SC11-0924-0119_resampled,1,2,2,2,2,228
SC11,SC11-0924-0119_resampled,1,2,2,2,2,229
SC11,SC11-0924-0119_resampled,1,2,2,2,1,230
SC11,SC11-0924-0119_resampled,0,2,2,1,1,231
SC11,SC11-0924-0119_resampled,1,2,2,2,1,232
SC11,SC11-0924-0119_resampled,1,2,2,2,2,233
SC11,SC11-0924-0119_resampled,0,2,2,1,1,234
SC11,SC11-0924-0119_resampled,0,2,2,1,1,235
SC11,SC11-0924-0119_resampled,1,2,2,2,1,236
SC11,SC11-0924-0119_resampled,1,2,2,2,2,237
SC11,SC11-0924-0119_resampled,1,2,2,2,2,238
SC11,SC11-0924-0119_resampled,1,2,2,2,2,239
SC11,SC11-0924-0119_resampled,1,2,2,2,1,240
SC11,SC11-0924-0119_resampled,1,2,2,2,1,241
SC11,SC11-0924-0119_resampled,1,2,2,2,2,242
SC11,SC11-0924-0119_resampled,0,2,2,1,1,243
SC11,SC11-0924-0119_resampled,1,2,2,2,1,244
SC11,SC11-0924-0119_resampled,1,2,2,2,1,245
SC11,SC11-0924-0119_resampled,1,2,2,2,1,246
SC11,SC11-0924-0119_resampled,0,2,2,1,2,247
SC11,SC11-0924-0119_resampled,1,2,2,2,2,248
SC11,SC11-0924-0119_resampled,1,2,2,2,1,249
SC11,SC11-0924-0119_resampled,1,2,2,2,2,250
SC11,SC11-0924-0119_resampled,0,3,1,2,1,251
SC11,SC11-0924-0119_resampled,0,3,1,2,1,252
SC11,SC11-0924-0119_resampled,0,3,1,2,1,253
SC11,SC11-0924-0119_resampled,0,3,1,2,1,254
SC11,SC11-0924-0119_resampled,0,3,1,2,1,255
SC11,SC11-0924-0119_resampled,0,3,1,2,1,256
SC11,SC11-0924-0119_resampled,0,3,1,2,1,257
SC11,SC11-0924-0119_resampled,0,3,1,2,1,258
SC11,SC11-0924-0119_resampled,0,3,1,2,1,259
SC11,SC11-0924-0119_resampled,1,3,1,1,1,260
SC11,SC11-0924-0119_resampled,0,3,1,2,1,261
SC11,SC11-0924-0119_resampled,1,3,1,1,1,262
SC11,SC11-0924-0119_resampled,1,3,1,1,1,263
