Animal,Day,trial duration,Correct,Strategy,Trial,Correct arm,Reward zone,Start zone,Start time,End time,Learning stage,Trajectory
HM02,HM02-0523-0109.mat,4.15478868379696,1,2,23,2,2,1,2662960,2665040,3,3
HM02,HM02-0523-0109.mat,7.22306937267895,1,2,24,2,2,2,2722380,2725320,3,2
HM02,HM02-0523-0109.mat,5.21730195493539,1,2,25,2,2,2,2756780,2759520,3,2
HM02,HM02-0523-0109.mat,4.64358650864356,1,2,26,2,2,2,2792540,2794880,3,2
HM02,HM02-0523-0109.mat,3.37449612816689,1,2,27,2,2,1,2827400,2830240,3,3
HM02,HM02-0523-0109.mat,4.326771809091,1,2,28,2,2,2,2859360,2861800,3,2
HM02,HM02-0523-0109.mat,6.54394849501006,0,3,1,1,2,1,2900160,2903160,1,3
HM02,HM02-0523-0109.mat,3.11263452117596,0,3,2,1,2,1,2917900,2920320,1,3
HM02,HM02-0523-0109.mat,10.4198684357514,1,3,3,1,1,1,2937460,2945080,1,4
HM02,HM02-0523-0109.mat,5.15536451787269,1,3,4,2,2,2,2971820,2975040,1,2
HM02,HM02-0523-0109.mat,7.96779312819692,0,3,5,2,1,2,2998020,3003640,1,1
HM02,HM02-0523-0109.mat,6.31793544809361,1,3,6,2,2,2,3025400,3029480,2,2
HM02,HM02-0523-0109.mat,5.20206956386823,0,3,7,1,2,1,3056060,3060040,2,3
HM02,HM02-0523-0109.mat,3.1492254822274,1,3,8,1,1,1,3076620,3079020,2,4
HM02,HM02-0523-0109.mat,2.96650684277435,1,3,9,1,1,1,3108700,3111020,2,4
HM02,HM02-0523-0109.mat,3.21049179387594,1,3,10,1,1,1,3139240,3141860,3,4
HM02,HM02-0523-0109.mat,4.54600883674838,1,3,11,2,2,2,3171780,3174020,3,2
HM02,HM02-0523-0109.mat,3.67848450866358,1,3,12,1,1,1,3201480,3204220,3,4
HM02,HM02-0523-0109.mat,2.80071272159438,1,3,13,1,1,1,3232160,3234300,3,4
HM02,HM02-0523-0109.mat,4.82614334791444,1,3,14,2,2,2,3260580,3262980,3,2
HM02,HM02-0523-0109.mat,3.3122893004074,1,3,15,1,1,1,3294920,3297520,3,4
HM02,HM02-0523-0109.mat,3.23311876257495,1,3,16,1,1,1,3330000,3332520,3,4
HM02,HM02-0523-0109.mat,3.12829698001021,1,3,17,1,1,1,3359200,3361580,3,4
HM02,HM02-0523-0109.mat,4.63918619233041,1,3,18,2,2,2,3449140,3451740,3,2
HM02,HM02-0523-0109.mat,3.26223925185934,1,3,19,1,1,1,3550640,3552920,3,4
HM02,HM02-0523-0109.mat,3.50740162661034,1,3,20,1,1,1,3657140,3659320,3,4
HM02,HM02-0523-0109.mat,2.71375282930101,1,3,21,1,1,1,3740060,3742120,3,4
HM02,HM02-0523-0109.mat,6.31924767219547,1,3,22,2,2,2,3801240,3803600,3,2
HM02,HM02-0523-0109.mat,2.54116851182671,1,3,23,1,1,1,3831440,3833400,3,4
HM02,HM02-0523-0109.mat,2.39009540845437,1,3,24,1,1,1,3864060,3866040,3,4
HM02,HM02-0523-0109.mat,4.11180407203131,1,3,25,1,1,1,3900020,3903480,3,4
HM02,HM02-0523-0109.mat,4.65644828980691,1,3,26,2,2,2,3935620,3938560,3,2
HM02,HM02-0523-0109.mat,5.29747547371898,0,4,1,1,2,2,3999840,4002800,1,2
HM02,HM02-0523-0109.mat,5.30604712064944,1,4,2,1,1,2,4018140,4021320,2,1
HM02,HM02-0523-0109.mat,5.90231462047427,1,4,3,1,1,2,4049100,4052880,2,1
HM02,HM02-0523-0109.mat,7.54078858569984,0,4,4,1,2,2,4086400,4092280,2,2
HM02,HM02-0523-0109.mat,5.12846050790282,1,4,5,1,1,2,4108100,4110880,2,1
HM02,HM02-0523-0109.mat,9.18663725187936,0,4,6,2,1,1,4147060,4151120,2,4
HM02,HM02-0523-0109.mat,4.78151178566781,1,4,7,2,2,1,4170500,4174580,2,3
HM02,HM02-0523-0109.mat,7.20463750613107,1,4,8,1,1,2,4200040,4204980,2,1
HM02,HM02-0523-0109.mat,6.1110854495951,0,4,9,1,2,2,4234940,4239060,2,2
HM02,HM02-0523-0109.mat,6.9861538733346,1,4,10,1,1,2,4255120,4259900,2,1
HM02,HM02-0523-0109.mat,3.44916659693096,0,4,11,2,1,1,4291280,4294120,2,4
HM02,HM02-0523-0109.mat,8.54645637481106,1,4,12,2,2,1,4323780,4331660,2,3
HM02,HM02-0523-0109.mat,6.14368984094253,1,4,13,1,1,2,4362620,4366200,2,1
HM02,HM02-0523-0109.mat,3.76097218446262,0,4,14,2,1,1,4395620,4398640,2,4
HM02,HM02-0523-0109.mat,4.27010712705579,1,4,15,2,2,1,4417360,4420900,2,3
HM02,HM02-0523-0109.mat,4.72857662786158,1,4,16,1,1,2,4465520,4468460,2,1
HM02,HM02-0523-0109.mat,3.1943468143462,0,4,17,2,1,1,4499640,4501680,2,4
HM02,HM02-0523-0109.mat,4.88745412158036,1,4,18,2,2,1,4522080,4526000,2,3
HM02,HM02-0523-0109.mat,7.35983172440716,0,4,19,1,2,2,4560000,4565340,2,2
HM02,HM02-0523-0109.mat,5.12658158977388,1,4,20,1,1,2,4579140,4582060,2,1
HM02,HM02-0523-0109.mat,6.50864784236394,1,4,21,1,1,2,4611420,4615440,2,1
HM02,HM02-0523-0109.mat,3.91477754577031,0,4,22,2,1,1,4646280,4649300,2,4
HM02,HM02-0523-0109.mat,6.38588360576971,1,4,23,2,2,1,4670620,4675160,2,3
HM02,HM02-0523-0109.mat,4.55384904055015,0,4,24,2,1,1,4700600,4704180,2,4
HM02,HM02-0523-0109.mat,16.8006486781914,1,4,25,2,2,1,4735600,4741020,2,3
HM02,HM02-0523-0109.mat,7.84737930351048,0,4,26,2,1,1,4768380,4771820,2,4
